rose     n.玫瑰花
round    prep.围(绕)着
row  n.(一)排，(一)行
rule     n.规则;规定
run  v.跑
rush     vi.冲，奔 vt.催促
sad  adj.悲哀的
safe     adj.安全的
sail     vi.航行
salt     n.盐
same     adj.同样的
sand     n.沙，沙地
save     vt.救，挽救
saw  n.锯子 vt.锯，锯开
school   n.学校
sea  n.海洋，海
season   n.季，季节，时节
second   num.第二 a.二等的
see  v.看，看见;了解
seed     n.种子
seek     vt.寻找，探索;试图
seem     vi.好像，似乎
seize    vt.捉，抓;掠夺
self     n.自我，自己
sell     vt.&vi.卖
send     vt.送;派遣;发射
separate     a.分离的;个别的
serve    vt.开(饭)，上(菜)
service  n.服务
set  n.(一)套 vt.镶，嵌
settle   vt.安排;安放;调停
seven    num.七
several  adj.&pron.几个，数个
shade    n.(色彩的)浓淡，深浅
shake    vt.摇，使震动 n.摇动
shall    v.aux.(我，我们)将要
shape    n.形状;情况 vt.形成
she  pron.她
sheep    n.羊，绵羊
shine    v.照耀;发光
ship     n.轮船
shoe     n.鞋
shop     n.商店，店铺;车间
shore    n.滨，岸
short    adj.矮的
should   aux.v.将;万一;就
shoulder     vt.承担，挑起，肩负
show     vt.给⋯看;表明
shut     vt.&vi.关闭
sick     a.有病的;恶心的
side     n.边;面
sight    n.视力;视觉;见
sign     n.征兆，迹象，病症
silk     n.(蚕)丝;丝织品，绸
silver   n.银;银子;银器
simple   adj.单纯的;简易的
since    conj.由于;既然
sing     v.唱，演唱
single   a.单一的;独身的
sir  n.先生，阁下;⋯爵士
sit  v.坐
six  num.六
size     n.尺寸，大小
skin     n.皮，皮肤
sky  n.天空
sleep    v.&n.睡，睡眠
slow     a.慢的;迟钝的
small    a.小的，少的;小型的
smile    v.微笑
smoke    n.烟;抽烟 vi.冒烟
snow     n.雪 vi.下雪
so   adv.这么，那么
soft     adj.软的;柔和的
soil     n.土壤;土地
soldier  n.士兵，战士
some     adj.&pron.一些
something    pron.某事，某物
sometime     adv.在某一时候
sometimes    ad.不时，有时
son  n.儿子
song     n.歌曲
soon     adv.不久;很快
sort     n.种类;类别 vt.整理
soul     n.灵魂;精神;人
sound    a.健康的;完好的
spend    vt.用钱，花费;度过
spot     n.点;班点;地点
spread   vt.伸开;传播 n.传播
spring   n.春天，春季
square   n.正方形;广场
star     vt.&vi.主演
start    vt.开始 vi.出发
state    n.州;国家;政府
station  vt.驻扎;安置
stay     vi.停留;暂住
step     n.(脚)步;步骤 vi.走
stick    vt.&vi.伸，伸出
still    adj.寂静的;静止的
stone    n.果核，(水果的)硬核
stop     vt.塞住;阻止;停止
storm    n.风暴;暴(风)雨
straight     a.直的;正直的 ad.直
strange  a.陌生的;奇怪的
stream   n.(小)河;溪流
street   n.街道
strength     n.力量;力气
strike   vt.&vi.打;击
strong   adj.坚固的;强有力的
study    v.学习
subject  n.题目;学科;主语
such     adv.那么 adj.这样的
sudden   a.突然的，意外的
suffer   vi.受苦 vt.遭受
sugar    n.糖
summer   n.夏，夏季
sun  n.太阳，日
supply   vt.&n.供给，供应
suppose  vt.假定;猜想
sure     adj.确信的，肯定的
surprise     n.惊奇，诧异
sweet    adj.甜的
table    n.桌子
tail     n.尾巴;尾部
take     v.拿，取;就座
talk     v.说话，谈话
tall     adj.高的
taste    vt.尝;尝到 n.味觉
teach    vt.讲;教育 vt.教书
teacher  n.教师
tear     vt.扯开，撕裂
tell     v.告诉;讲述
ten  num.十
than     conj.比
thank    v.谢谢
that     a.那 pron.那 ad.那样
the  art.这(那)个;这些
their    pron.他(她、它)们的
them     pron.他(她)们，它们
themselves   pron.他们自己
then     adv.那么;然后
there    adv.那儿
therefore    adv.因此;所以
these    pron.&adj.这些
they     pron.他们(她们,它们)
thick    adj.厚的;浓的
thin     adj.瘦的
thing    n.事情，东西
think    vt.想;想要;认为
this     pron.&adj.这，这个
those    pron.&adj.那些
though   conj.虽然 ad.可是
thought  n.思想;思维;想法
thousand     num.千
through  prep.穿过ad.从头到尾
throw    vt.&vi.投掷;摔倒
tie  vt.(用绳等)系，栓
till     prep.conj.直到⋯为止
time     n.时间
tire     vi.疲劳，累;厌倦
to   prep.到...
today    ad.在今天;现在
together     ad.共同，一起
tomorow  ad.在明天 n.明天
tongue   n.舌头;语言;口语
too  adv.也
top  n.顶;首位 a.顶的
touch    vt.触摸;接触
toward   prep.向,对于,为了
town     n.镇，市镇，城镇
trade    vi.经商，进行贸易
train    n.火车
travel   vi.&n.旅行
tree     n.树
trip     vi.绊;失足 vt.绊倒
trouble  n.烦恼;困难 vi.烦恼
true     a.真的;忠实的
trust    vt.&n.信任
truth    n.真理;真相
try  vt.审问，审判
turn     v.翻;转
twelve   num.十二
twenty   num.二十，二十个
two  num.二
uncle    n.叔，伯，舅，姨父
under    prep.在..下面
unit     n.单位;单元;部件
until    conj.直到...为止
up   ad.向上;起床，起来
upon     prep.在..上面
us   pron.(宾格)我们
use  vt.用;耗费 n.用
usual    adj.通常的;平常的
valley   n.流域;(山)谷
value    vt.尊重，重视，评价
very     ad.很;完全 a.真的
view     n.视域
village  n.乡村，村庄
visit    vt.常去
voice    n.说话声;意见;语态
wait     vi.等，等候 n.等待
walk     vi.&n.走，步行
wall     n.墙，壁，围墙，城墙
want     vt.要，想要;需要
war  n.战争;冲突，斗争
wash     vt.洗;冲出 vi.洗涤
waste    n.&vt.浪费
watch    n.手表
water    n.水
